carrier_code,dia_semana_despachado,cross_or_ff,zip_code,validacion_tel,cumplimiento
shipnow,2,0,1842,1,0
shipnow,2,1,1670,1,0
iflow,4,1,1763,1,0
shipnow,1,1,1714,1,0
shipnow,4,0,1643,1,0
shipnow,4,1,1646,1,0
shipnow,4,1,1753,1,0
shipnow,3,1,1712,1,0
shipnow,2,1,1642,1,0
iflow,2,0,1765,0,0
shipnow,2,0,1880,1,0
iflow,5,1,1716,1,0
shipnow,3,1,1897,1,0
shipnow,3,1,1702,1,0
shipnow,3,1,1900,1,0
shipnow,3,0,1611,1,0
shipnow,2,1,1754,1,0
shipnow,3,0,1702,1,0
shipnow,3,0,1682,1,0
shipnow,3,0,1900,1,0
shipnow,3,1,1900,1,0
iflow,2,0,1759,0,0
shipnow,3,0,1669,1,0
shipnow,3,0,1722,1,0
iflow,3,0,1900,1,0
shipnow,3,0,1702,1,0
shipnow,3,0,1897,1,0
shipnow,0,1,1718,1,0
shipnow,0,1,1884,1,0
iflow,3,1,1825,1,0
shipnow,3,0,1655,1,0
shipnow,1,1,1670,1,0
iflow,3,0,1826,1,0
shipnow,2,1,1846,1,0
shipnow,1,1,1752,1,0
shipnow,2,1,1646,1,0
shipnow,2,1,1854,1,0
shipnow,3,0,1900,1,0
shipnow,4,1,1670,1,0
shipnow,2,0,1669,1,0
iflow,1,1,1865,1,0
iflow,3,0,1657,1,0
shipnow,0,1,1706,1,0
shipnow,3,1,1897,1,0
iflow,5,1,1757,1,0
shipnow,0,1,1670,1,0
shipnow,4,1,1746,1,0
shipnow,3,0,1874,1,0
shipnow,3,1,1613,1,0
shipnow,0,1,1885,1,0
shipnow,2,1,1754,1,0
shipnow,1,1,1856,1,0
shipnow,3,0,1684,1,0
shipnow,3,1,1686,1,0
iflow,5,1,1759,1,0
shipnow,1,1,1636,1,0
shipnow,1,1,1663,1,0
shipnow,1,1,1686,1,0
shipnow,0,1,1826,1,0
shipnow,2,1,1832,1,0
iflow,1,1,1900,1,0
iflow,5,1,1888,1,0
shipnow,4,1,1636,1,0
shipnow,1,1,1900,1,0
iflow,1,1,1872,1,0
shipnow,4,0,1754,1,0
shipnow,1,1,1900,1,0
shipnow,0,1,1875,1,0
shipnow,3,1,1614,1,1
iflow,1,1,1900,1,0
shipnow,3,1,1766,1,0
shipnow,2,1,1667,1,0
shipnow,2,1,1870,1,0
shipnow,3,1,1678,1,0
shipnow,3,1,1613,1,0
shipnow,1,0,1900,1,0
shipnow,3,1,1804,1,0
shipnow,1,1,1642,1,0
shipnow,3,0,1636,1,0
shipnow,2,1,1884,1,0
shipnow,1,1,1900,1,0
shipnow,4,1,1842,1,0
shipnow,4,1,1834,1,0
shipnow,4,1,1718,1,0
iflow,1,1,1890,1,0
iflow,5,1,1759,1,0
shipnow,1,1,1836,1,0
shipnow,2,1,1678,1,0
shipnow,1,1,1625,1,0
shipnow,2,1,1832,1,0
shipnow,1,1,1847,1,0
shipnow,3,1,1900,1,0
shipnow,2,1,1684,1,0
shipnow,1,1,1842,1,0
shipnow,3,1,1846,1,0
